id,address,price,square_feet,bedrooms,bathrooms,avail_stat,area_id,latitude,longitude,img_url
50,"442 W Bellevue Rd, Merced, CA 95348",815000,2721,3,3,Availible ,6,37.36582627,-120.4937204,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Hyz05vo2QweDtS_hO0t-MQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=22.661837&pitch=0&thumbfov=100
51,"5968 Crestview Dr, Merced, CA 95340",599000,2540,4,3,Availible ,6,37.37518697,-120.4527507,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gvnELskStRqogc6g8I5KLQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=72.28292&pitch=0&thumbfov=100
52,"1655 Knoll Ct, Merced, CA 95340",819000,2616,3,2,Availible ,6,37.3695971,-120.4564221,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-ZQlQPgW7uVSYaNYRgTI8Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=168.71182&pitch=0&thumbfov=100
53,"796 Athena Dr #61, Merced, CA",429990,1583,3,3,Availible ,6,37.35470351,-120.4813981,https://maps.gstatic.com/tactile/pane/default_geocode-1x.png
54,"774 Athena Dr #58, Merced, CA",449990,1775,4,3,Availible ,6,37.35451586,-120.4811823,https://maps.gstatic.com/tactile/pane/default_geocode-1x.png
55,"776 Taryn Ct, Merced, CA 95341",429990,1583,3,3,Availible ,6,37.28395544,-120.4963747,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=V5GtKTk11Xifynq-2UI6Ng&cb_client=search.gws-prod.gps&w=408&h=240&yaw=197.99092&pitch=0&thumbfov=100
56,"761 Irma Dr #41, Merced, CA 95348",426990,1583,3,3,Availible ,6,37.35412444,-120.481167,https://maps.gstatic.com/tactile/pane/default_geocode-1x.png
57,"4436 Cohen Ct, Merced, CA 95348",415000,1564,4,2,Availible ,6,37.35294083,-120.4752122,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9DDE7sDUWMIiRw_haHp28A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=101.71086&pitch=0&thumbfov=100
58,"156 Arrow Wood Dr, Merced, CA 95348",509000,2155,4,3,Availible ,6,37.35263922,-120.4705481,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4tUO8BmZplwhpduWnEfyxA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=189.93459&pitch=0&thumbfov=100
59,"385 Noble Dr, Merced, CA 95348",515000,2172,3,2,Availible ,6,37.35095033,-120.4740581,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=o5Cqr8V5f9IQe9m9AvO_Eg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=19.125092&pitch=0&thumbfov=100
60,"4375 Anderson Way, Merced, CA 95348",377500,1469,3,2,Availible ,6,37.34922616,-120.4757499,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=q2z-O9TI1sP3zsyzLatD6w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=247.36977&pitch=0&thumbfov=100
61,"4387 Anderson Way, Merced, CA 95348",415000,1813,4,3,Availible ,6,37.34954414,-120.4757183,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EigIFtY1NLxRnGLNnQacQA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=238.52486&pitch=0&thumbfov=100
62,"670 Coppola Ct, Merced, CA 95348",469000,2193,4,3,Availible ,6,37.34701202,-120.4791722,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cnisJKlAtA-vs-eQHQ0NEg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=201.9059&pitch=0&thumbfov=100
